respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r19695,21,f,semi-urban,student,none,5-7 times,newcomer,small (250 ml),above 4,availability,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r19696,64,m,metro,retired,<10l,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r19697,21,m,metro,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,price,exotic,retail store,premium,medium (moderately health-conscious),social (eg. parties),150-200
r19698,30,f,rural,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,price,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r19699,30,m,urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,price,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r19700,25,m,metro,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r19701,42,m,semi-urban,working professional,16l - 25l,3-4 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19702,26,m,metro,working professional,16l - 25l,3-4 times,established,large (1 l),above 4,quality,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r19703,22,f,urban,student,none,5-7 times,newcomer,large (1 l),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r19704,28,m,urban,working professional,10l - 15l,3-4 times,established,large (1 l),2 to 4,price,exotic,online,eco-friendly,high (very health-conscious),social (eg. parties),150-200
r19705,36,f,urban,working professional,<10l,5-7 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19706,35,m,metro,entrepreneur,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",200-250
r19707,26,f,semi-urban,working professional,<10l,0-2 times,newcomer,medium (500 ml),above 4,price,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r19708,26,m,metro,working professional,26l - 35l,0-2 times,established,medium (500 ml),0 to 1,quality,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r19709,49,m,metro,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,quality,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r19710,34,f,metro,entrepreneur,26l - 35l,5-7 times,established,large (1 l),above 4,brand reputation,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r19711,34,f,semi-urban,working professional,<10l,3-4 times,newcomer,small (250 ml),2 to 4,availability,traditional,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r19712,42,f,metro,working professional,16l - 25l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r19714,25,f,urban,working professional,10l - 15l,3-4 times,established,small (250 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r19715,46,f,urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),100-150
r19716,48,f,urban,working professional,<10l,5-7 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r19717,24,m,urban,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),0 to 1,quality,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19718,35,m,urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r19719,30,m,urban,student,none,0-2 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,high (very health-conscious),casual (eg. at home),100-150
r19720,50,m,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),0 to 1,brand reputation,exotic,retail store,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r19721,24,m,semi-urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r19722,54,f,urban,working professional,<10l,0-2 times,newcomer,small (250 ml),0 to 1,availability,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r19723,30,f,metro,entrepreneur,16l - 25l,3-4 times,established,large (1 l),above 4,quality,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r19724,18,f,metro,student,none,0-2 times,newcomer,small (250 ml),2 to 4,price,traditional,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r19725,27,f,urban,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,brand reputation,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19726,42,m,urban,entrepreneur,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,brand reputation,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r19727,49,m,rural,working professional,10l - 15l,5-7 times,established,small (250 ml),0 to 1,availability,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r19728,30,f,semi-urban,working professional,> 35l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r19729,25,m,urban,student,none,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,low (not very concerned),social (eg. parties),50-100
r19730,53,f,metro,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r19731,24,f,metro,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r19732,52,f,metro,entrepreneur,10l - 15l,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r19733,44,m,urban,entrepreneur,> 35l,3-4 times,newcomer,large (1 l),2 to 4,availability,traditional,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r19734,25,m,metro,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,availability,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19735,26,f,urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),100-150
r19736,34,m,rural,working professional,<10l,3-4 times,newcomer,small (250 ml),above 4,price,exotic,online,premium,high (very health-conscious),social (eg. parties),150-200
r19737,30,m,rural,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,availability,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r19738,24,f,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19739,29,f,urban,working professional,> 35l,0-2 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19740,21,m,semi-urban,student,none,3-4 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r19741,44,m,urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),150-200
r19742,27,m,metro,working professional,16l - 25l,0-2 times,established,medium (500 ml),2 to 4,quality,traditional,online,eco-friendly,high (very health-conscious),social (eg. parties),150-200
r19743,31,f,metro,working professional,10l - 15l,3-4 times,established,small (250 ml),above 4,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r19744,33,m,metro,working professional,<10l,3-4 times,established,medium (500 ml),2 to 4,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r19745,18,m,metro,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),2 to 4,quality,traditional,online,eco-friendly,low (not very concerned),casual (eg. at home),200-250
r19746,20,m,semi-urban,student,none,3-4 times,established,medium (500 ml),2 to 4,price,traditional,online,premium,low (not very concerned),casual (eg. at home),50-100
r19747,43,m,metro,working professional,<10l,3-4 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r19748,18,f,rural,student,none,5-7 times,established,small (250 ml),0 to 1,availability,traditional,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r19749,22,f,urban,student,none,3-4 times,newcomer,large (1 l),above 4,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19750,34,m,semi-urban,working professional,26l - 35l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r19751,35,m,metro,working professional,<10l,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,simple,high (very health-conscious),social (eg. parties),200-250
r19752,41,f,semi-urban,working professional,10l - 15l,0-2 times,established,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r19753,23,m,urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r19754,18,f,urban,student,none,5-7 times,newcomer,medium (500 ml),0 to 1,availability,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19755,25,m,urban,working professional,16l - 25l,5-7 times,newcomer,large (1 l),above 4,quality,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r19756,55,m,metro,working professional,16l - 25l,0-2 times,established,small (250 ml),above 4,brand reputation,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r19757,37,m,metro,working professional,26l - 35l,5-7 times,newcomer,small (250 ml),2 to 4,quality,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r19758,21,f,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,availability,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r19759,39,f,metro,entrepreneur,<10l,0-2 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),150-200
r19760,33,m,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r19761,35,f,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r19762,22,f,urban,student,none,0-2 times,established,medium (500 ml),0 to 1,availability,exotic,online,simple,low (not very concerned),social (eg. parties),50-100
r19763,32,f,semi-urban,working professional,10l - 15l,5-7 times,newcomer,large (1 l),2 to 4,availability,exotic,retail store,eco-friendly,high (very health-conscious),social (eg. parties),150-200
r19764,29,m,urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r19765,23,f,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,availability,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r19766,25,m,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,availability,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r19767,31,m,metro,working professional,10l - 15l,3-4 times,newcomer,small (250 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r19768,20,f,urban,student,none,5-7 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,low (not very concerned),casual (eg. at home),50-100
r19769,18,m,semi-urban,working professional,<10l,0-2 times,established,medium (500 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),100-150
r19770,23,f,urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,exotic,online,simple,low (not very concerned),social (eg. parties),50-100
r19771,43,f,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19772,32,m,metro,entrepreneur,16l - 25l,3-4 times,newcomer,small (250 ml),2 to 4,quality,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r19773,39,f,urban,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r19774,31,f,metro,working professional,<10l,0-2 times,newcomer,medium (500 ml),above 4,availability,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r19775,32,m,urban,working professional,<10l,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r19776,49,m,urban,entrepreneur,10l - 15l,5-7 times,established,small (250 ml),2 to 4,availability,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r19777,20,m,semi-urban,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r19778,25,f,metro,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),social (eg. parties),100-150
r19779,20,f,metro,student,none,0-2 times,established,small (250 ml),2 to 4,price,exotic,online,simple,low (not very concerned),casual (eg. at home),50-100
r19780,43,m,semi-urban,entrepreneur,16l - 25l,3-4 times,established,small (250 ml),2 to 4,brand reputation,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),200-250
r19781,21,m,metro,working professional,<10l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r19782,20,f,metro,student,none,0-2 times,newcomer,small (250 ml),above 4,price,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r19783,19,m,metro,student,none,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,high (very health-conscious),social (eg. parties),100-150
r19784,47,f,semi-urban,entrepreneur,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r19785,38,f,metro,working professional,> 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,retail store,simple,high (very health-conscious),social (eg. parties),200-250
r19786,19,f,semi-urban,student,none,0-2 times,newcomer,large (1 l),above 4,price,exotic,retail store,premium,low (not very concerned),social (eg. parties),100-150
r19787,34,m,semi-urban,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19788,34,m,urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),150-200
r19789,23,f,semi-urban,student,none,0-2 times,established,small (250 ml),above 4,availability,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r19790,44,f,metro,entrepreneur,<10l,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19791,24,f,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r19792,18,m,semi-urban,student,none,3-4 times,established,large (1 l),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r19793,30,f,urban,working professional,16l - 25l,5-7 times,established,medium (500 ml),above 4,quality,exotic,online,premium,low (not very concerned),social (eg. parties),200-250
r19794,43,m,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,availability,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19795,34,m,urban,working professional,26l - 35l,3-4 times,established,small (250 ml),above 4,quality,traditional,online,simple,high (very health-conscious),casual (eg. at home),200-250
r19796,24,m,urban,student,none,0-2 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r19797,22,m,urban,entrepreneur,26l - 35l,3-4 times,established,large (1 l),0 to 1,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r19798,21,m,metro,student,none,5-7 times,established,small (250 ml),2 to 4,availability,exotic,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r19799,35,m,semi-urban,working professional,10l - 15l,3-4 times,newcomer,small (250 ml),above 4,price,exotic,retail store,premium,low (not very concerned),casual (eg. at home),100-150
r19800,29,m,urban,entrepreneur,<10l,3-4 times,newcomer,medium (500 ml),above 4,availability,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19801,24,f,semi-urban,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r19802,55,f,semi-urban,working professional,26l - 35l,0-2 times,established,large (1 l),2 to 4,quality,exotic,online,simple,low (not very concerned),social (eg. parties),150-200
r19803,22,m,rural,working professional,<10l,3-4 times,established,small (250 ml),0 to 1,price,exotic,online,premium,low (not very concerned),casual (eg. at home),50-100
r19804,20,m,urban,student,none,3-4 times,established,small (250 ml),above 4,availability,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19805,21,m,metro,working professional,10l - 15l,5-7 times,newcomer,large (1 l),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19806,51,m,metro,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),above 4,brand reputation,exotic,retail store,premium,medium (moderately health-conscious),social (eg. parties),200-250
r19807,35,f,metro,working professional,16l - 25l,3-4 times,newcomer,small (250 ml),above 4,brand reputation,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19808,25,f,urban,student,none,3-4 times,established,large (1 l),above 4,price,exotic,online,eco-friendly,low (not very concerned),social (eg. parties),100-150
r19809,35,f,urban,student,none,3-4 times,established,large (1 l),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19810,46,f,semi-urban,working professional,<10l,5-7 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r19811,41,m,metro,entrepreneur,16l - 25l,5-7 times,established,small (250 ml),2 to 4,brand reputation,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r19812,21,f,urban,student,none,3-4 times,established,large (1 l),0 to 1,availability,exotic,retail store,simple,low (not very concerned),social (eg. parties),50-100
r19813,25,m,urban,student,none,5-7 times,established,medium (500 ml),0 to 1,price,traditional,retail store,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r19814,34,f,urban,entrepreneur,10l - 15l,0-2 times,established,medium (500 ml),2 to 4,price,traditional,online,eco-friendly,high (very health-conscious),casual (eg. at home),150-200
r19815,29,f,semi-urban,working professional,26l - 35l,0-2 times,newcomer,small (250 ml),2 to 4,availability,traditional,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r19816,53,m,urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
r19817,53,f,semi-urban,entrepreneur,16l - 25l,0-2 times,established,small (250 ml),0 to 1,quality,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r19818,31,m,urban,working professional,10l - 15l,3-4 times,newcomer,large (1 l),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19819,56,f,rural,entrepreneur,16l - 25l,3-4 times,newcomer,small (250 ml),0 to 1,availability,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r19820,21,m,metro,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r19821,33,f,metro,entrepreneur,16l - 25l,0-2 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r19822,32,m,urban,working professional,16l - 25l,3-4 times,established,small (250 ml),above 4,brand reputation,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19823,24,f,metro,student,none,5-7 times,newcomer,large (1 l),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r19824,29,m,semi-urban,working professional,10l - 15l,0-2 times,established,large (1 l),2 to 4,availability,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r19825,24,f,urban,student,none,5-7 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19826,29,f,semi-urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),2 to 4,availability,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19827,54,f,semi-urban,working professional,26l - 35l,5-7 times,established,small (250 ml),2 to 4,quality,traditional,retail store,eco-friendly,high (very health-conscious),social (eg. parties),200-250
r19828,28,f,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),above 4,quality,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r19829,18,m,metro,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19830,20,m,semi-urban,student,none,3-4 times,newcomer,small (250 ml),0 to 1,availability,traditional,online,simple,low (not very concerned),social (eg. parties),50-100
r19831,22,m,semi-urban,student,none,3-4 times,newcomer,large (1 l),0 to 1,availability,exotic,retail store,simple,low (not very concerned),social (eg. parties),50-100
r19832,37,f,urban,entrepreneur,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r19833,44,m,metro,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,online,simple,low (not very concerned),social (eg. parties),150-200
r19834,20,m,metro,student,none,3-4 times,established,large (1 l),0 to 1,availability,exotic,online,simple,low (not very concerned),social (eg. parties),100-150
r19835,34,m,semi-urban,working professional,16l - 25l,0-2 times,established,small (250 ml),0 to 1,quality,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),100-150
r19836,20,m,metro,student,none,3-4 times,established,medium (500 ml),2 to 4,price,exotic,online,premium,low (not very concerned),social (eg. parties),100-150
r19837,21,f,urban,entrepreneur,16l - 25l,0-2 times,newcomer,large (1 l),0 to 1,availability,traditional,online,premium,high (very health-conscious),casual (eg. at home),150-200
r19838,49,f,metro,entrepreneur,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),200-250
r19839,39,m,semi-urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,premium,low (not very concerned),casual (eg. at home),100-150
r19840,35,m,urban,working professional,<10l,3-4 times,established,small (250 ml),0 to 1,availability,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r19841,23,m,urban,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r19842,56,f,urban,retired,<10l,0-2 times,established,small (250 ml),0 to 1,availability,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r19843,19,f,urban,entrepreneur,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,availability,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r19844,34,m,metro,working professional,> 35l,3-4 times,newcomer,medium (500 ml),0 to 1,brand reputation,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r19845,34,f,semi-urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r19846,23,f,rural,student,none,0-2 times,established,medium (500 ml),2 to 4,availability,exotic,retail store,premium,low (not very concerned),social (eg. parties),50-100
r19847,33,m,urban,working professional,26l - 35l,0-2 times,newcomer,large (1 l),above 4,price,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r19848,42,f,urban,working professional,> 35l,0-2 times,established,large (1 l),above 4,quality,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r19849,34,f,metro,entrepreneur,16l - 25l,3-4 times,established,large (1 l),above 4,quality,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19850,36,f,urban,working professional,> 35l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",200-250
r19851,26,f,rural,working professional,<10l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,exotic,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r19852,45,f,urban,entrepreneur,16l - 25l,3-4 times,established,large (1 l),2 to 4,quality,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19853,49,m,urban,entrepreneur,16l - 25l,0-2 times,established,medium (500 ml),0 to 1,quality,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19854,23,f,metro,student,none,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r19855,28,f,metro,entrepreneur,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,availability,traditional,retail store,simple,low (not very concerned),casual (eg. at home),150-200
r19856,27,f,semi-urban,entrepreneur,26l - 35l,5-7 times,established,large (1 l),0 to 1,brand reputation,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r19857,52,f,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r19858,41,f,urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r19859,21,m,semi-urban,working professional,10l - 15l,5-7 times,established,medium (500 ml),2 to 4,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),150-200
r19860,23,f,metro,student,none,3-4 times,established,medium (500 ml),2 to 4,availability,traditional,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r19861,24,m,urban,student,none,0-2 times,established,small (250 ml),0 to 1,price,traditional,retail store,eco-friendly,low (not very concerned),"active (eg. sports, gym)",50-100
r19862,28,f,metro,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),above 4,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r19863,25,m,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r19864,22,m,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,retail store,simple,low (not very concerned),social (eg. parties),50-100
r19865,27,f,urban,working professional,> 35l,3-4 times,newcomer,small (250 ml),2 to 4,price,exotic,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r19866,39,f,semi-urban,working professional,26l - 35l,5-7 times,newcomer,large (1 l),0 to 1,price,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r19867,37,m,semi-urban,working professional,10l - 15l,5-7 times,established,large (1 l),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r19868,51,f,semi-urban,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),above 4,availability,exotic,retail store,simple,low (not very concerned),casual (eg. at home),150-200
r19869,51,m,urban,working professional,> 35l,3-4 times,newcomer,small (250 ml),2 to 4,availability,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
